Date,KSSMB,KQSMB,KSHML,KQHML,KSMMT,KQMMT
2016-08-29,0.01055,-0.00595,-0.002156667,-0.00895,0.012100204,0.001368742
2016-08-30,5.55E-19,0.007,0.000706667,-0.005725,-0.002419079,0.01304437
2016-08-31,0.00545,-0.0028,-0.002723333,-0.0048,-0.030023879,-0.007799365
2016-09-01,-0.00615,-0.0037,-0.0017,0.003725,0.006837623,0.011840299
2016-09-02,-0.006,0.00345,0.005496667,0.004875,0.003686898,0.003394385
2016-09-05,0.0036,0.003,-0.003223333,-0.002975,-0.01080456,0.006135977
2016-09-06,0.0006,0.00055,0.002346667,-0.0029,-0.012721579,0.017331598
2016-09-07,-0.0033,0.00195,-0.0099,-0.02415,-0.003254108,-0.0020468
2016-09-08,0.00735,-0.01975,0.001233333,0.0023,-0.001094418,-0.00470908
2016-09-09,-0.00205,-0.0015,-0.015553333,-0.0036,-0.001807878,-0.005958549
2016-09-12,-0.00585,0.00355,-0.00542,-0.01605,0.003686976,-0.005640086
2016-09-13,-0.00995,0.0115,0.01555,-0.00615,-0.005729809,0.007509706
2016-09-19,-0.0051,0.01035,0.018296667,-0.00205,0.015833265,0.026147593
2016-09-20,-0.0017,0.0003,0.001193333,0.00745,0.02436113,-0.029207021
2016-09-21,0.00175,-0.0016,6.33E-05,0.001075,-0.001158701,-0.006892291
2016-09-22,0.0011,-0.002,0.00611,0.01575,0.007441199,-0.006428047
2016-09-23,0.0013,0.00035,-0.00782,-0.0034,0.00624338,0.003978207
2016-09-26,-0.0015,0.0031,0.007136667,-0.00765,0.012454735,0.003934229
2016-09-27,0.0074,-0.00195,0.003293333,0.0044,-0.000252307,-0.012054712
2016-09-28,-0.00315,0.0055,0.00496,-0.007075,0.00265315,0.005077835
2016-09-29,0.0042,0.0017,-0.000163333,0.004125,-0.012395378,-0.022119071
2016-09-30,0.00025,0.00275,-0.008186667,-0.0041,-0.02708378,-0.001081608
2016-10-04,-0.00295,0.0045,-0.01192,-0.0028,-0.017611909,-0.023246024
2016-10-05,-0.0001,0.00135,0.004273333,-0.0024,-0.015774462,0.006467075
2016-10-06,0.00105,0.00745,-0.00008,0.002125,-0.009372799,0.000231209
2016-10-07,0.0008,0.00175,-0.00912,-0.0018,-0.018661179,0.007556106
